"Title","Price"
"BitcoinBTC","$69,859.86"
"EthereumETH","$3,568.14"
"Tether USDtUSDT","$1.00"
"BNBBNB","$575.54"
"SolanaSOL","$187.40"
"XRPXRP","$0.6291"
"USDCUSDC","$1.00"
"DogecoinDOGE","$0.1764"
"CardanoADA","$0.655"
"AvalancheAVAX","$55.64"
"Shiba InuSHIB","$0.00"
"ToncoinTON","$5.03"
"PolkadotDOT","$9.62"
"ChainlinkLINK","$19.84"
"TRONTRX","$0.12"
"PolygonMATIC","$1.03"
"Bitcoin CashBCH","$472.30"
"Internet ComputerICP","$19.07"
"NEAR ProtocolNEAR","$7.62"
"UniswapUNI","$12.48"
"AptosAPT","$18.68"
"LitecoinLTC","$88.16"
"UNUS SED LEOLEO","$6.06"
"DaiDAI","$1.00"
"StacksSTX","$3.47"
"FilecoinFIL","$9.29"
"CosmosATOM","$11.99"
"Ethereum ClassicETC","$31.90"
"ArbitrumARB","$1.67"
"ImmutableIMX","$3.03"
"RenderRNDR","$10.90"
"HederaHBAR","$0.12"
"OKBOKB","$65.60"
"StellarXLM","$0.14"
"OptimismOP","$3.85"
"CronosCRO","$0.15"
"The GraphGRT","$0.39"
"BittensorTAO","$573.01"
"InjectiveINJ","$38.38"
"PepePEPE","$0.00"
"KaspaKAS","$0.14"
"VeChainVET","$0.04"
"THORChainRUNE","$9.44"
"Theta NetworkTHETA","$3.08"
"dogwifhatWIF","$3.08"
"FantomFTM","$1.06"
"MakerMKR","$3202.36"
"MantleMNT","$0.90"
"Lido DAOLDO","$3.13"
"ArweaveAR","$40.81"
"First Digital USDFDUSD","$1.00"
"MoneroXMR","$137.91"
"Fetch.aiFET","$2.84"
"CelestiaTIA","$13.70"
"FLOKIFLOKI","$0.00"
"AlgorandALGO","$0.27"
"SeiSEI","$0.82"
"SuiSUI","$1.79"
"FlowFLOW","$1.41"
"GalaGALA","$0.07"
"BeamBEAM","$0.04"
"AaveAAVE","$126.94"
"ConfluxCFX","$0.49"
"JupiterJUP","$1.31"
"Bitcoin SVBSV","$89.55"
"dYdX (Native)DYDX","$3.62"
"QuantQNT","$138.82"
"MultiversXEGLD","$62.23"
"BonkBONK","$0.00"
"StarknetSTRK","$2.23"
"SynthetixSNX","$4.90"
"Axie InfinityAXS","$11.23"
"The SandboxSAND","$0.70"
"BitTorrent (New)BTT","$0.00"
"SingularityNETAGIX","$1.17"
"Pyth NetworkPYTH","$0.93"
"WorldcoinWLD","$8.65"
"ORDIORDI","$65.27"
"MinaMINA","$1.26"
"FlareFLR","$0.04"
"Bitget TokenBGB","$0.95"
"TezosXTZ","$1.33"
"eCashXEC","$0.00"
"ChilizCHZ","$0.14"
"DecentralandMANA","$0.67"
"RoninRON","$4.13"
"Akash NetworkAKT","$5.31"
"ApeCoinAPE","$2.03"
"KuCoin TokenKCS","$12.65"
"OndoONDO","$0.87"
"EOSEOS","$1.07"
"AxelarAXL","$1.93"
"NeoNEO","$15.96"
"IOTAIOTA","$0.35"
"JasmyCoinJASMY","$0.02"
"dYdX (ethDYDX)ETHDYDX","$3.62"
"KavaKAVA","$0.98"
"SATS1000SATS","$0.00"
"PancakeSwapCAKE","$4.32"
"AIOZ NetworkAIOZ","$0.94"
